Date,Open Price,Close Price,Label
26-Aug-10,2778,2763.5,__label__2
25-Aug-10,2760,2771.85,__label__1
24-Aug-10,2785,2765.5,__label__2
23-Aug-10,2761,2792.35,__label__1
20-Aug-10,2785,2769.2,__label__1
19-Aug-10,2820,2804.1,__label__2
18-Aug-10,2765.1,2805.15,__label__1
17-Aug-10,2760,2752.3,__label__1
16-Aug-10,2760,2759.5,__label__2
13-Aug-10,2777,2780.2,__label__2
12-Aug-10,2790,2778.6,__label__2
11-Aug-10,2836,2810.8,__label__2
10-Aug-10,2861.25,2832.65,__label__2
09-Aug-10,2854,2873.15,__label__2
06-Aug-10,2863,2864.05,__label__1
05-Aug-10,2881,2873.4,__label__2
04-Aug-10,2790.05,2867.8,__label__1
03-Aug-10,2800,2784.55,__label__1
02-Aug-10,2781,2799.55,__label__1
30-Jul-10,2823,2788.85,__label__2
29-Jul-10,2823.55,2834.15,__label__2
28-Jul-10,2830,2833.55,__label__1
27-Jul-10,2808,2825.25,__label__1
26-Jul-10,2790,2802.5,__label__1
23-Jul-10,2786,2781.85,__label__1
22-Jul-10,2760,2757.8,__label__1
21-Jul-10,2770,2765.55,__label__2
20-Jul-10,2775,2757.6,__label__2
19-Jul-10,2749,2770.3,__label__1
16-Jul-10,2760,2778.3,__label__1
15-Jul-10,2748,2758.95,__label__1
14-Jul-10,2803.2,2742.3,__label__2
13-Jul-10,2868.5,2795.3,__label__2
12-Jul-10,2885,2894.95,__label__2
09-Jul-10,2832,2871.9,__label__1
08-Jul-10,2809,2825.75,__label__1
